Masked ID,Started on,Completed,Grade/41,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1,Q. 32 /1
2299400,23/7/19 8:58,24/7/19 15:15,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2292713,24/7/19 17:34,24/7/19 17:54,35,5,2,5,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
2294485,24/7/19 17:38,24/7/19 18:02,37,5,2,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2270059,24/7/19 18:12,24/7/19 19:18,29,4,2,4,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
2296014,24/7/19 18:54,24/7/19 19:41,33,4,2,5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0
2296523,24/7/19 19:36,24/7/19 19:42,15,5,2,5,0,0,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2275990,21/7/19 0:14,24/7/19 19:46,32,5,2,5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0
2297492,24/7/19 20:45,24/7/19 21:23,26,5,2,4,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
2298544,24/7/19 16:59,24/7/19 23:01,33,4,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1
2298653,25/7/19 14:35,25/7/19 15:21,38,5,2,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2230976,25/7/19 14:50,25/7/19 15:47,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1
2301493,22/7/19 9:55,25/7/19 19:42,33,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,0,1,-,0,0,0,0
2287725,24/7/19 16:52,25/7/19 20:47,32,5,2,5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
2294349,25/7/19 20:17,25/7/19 21:21,17,5,2,5,1,1,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2287725,25/7/19 20:50,25/7/19 21:33,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
2298590,25/7/19 22:32,25/7/19 23:17,36,4,2,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
2277283,25/7/19 22:47,26/7/19 0:10,21,3,1,4,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
2261418,21/7/19 11:56,26/7/19 7:39,33,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
2299485,26/7/19 10:19,26/7/19 10:51,31,5,2,5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0
2296917,21/7/19 21:21,26/7/19 13:10,31,4,2,4,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
2276813,26/7/19 13:23,26/7/19 13:48,21,4,2,5,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
2298703,26/7/19 15:48,26/7/19 16:59,23,2,2,4,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
2283045,26/7/19 16:59,26/7/19 17:53,25,5,2,3,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,-,-,-,-,-,-,-,0,0,1,0,0
2284637,26/7/19 19:41,26/7/19 20:29,38,5,2,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2284637,26/7/19 20:32,26/7/19 20:37,41,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2270621,26/7/19 4:57,27/7/19 5:23,24,4,2,4,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2249060,27/7/19 12:07,27/7/19 13:36,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
2295055,24/7/19 21:54,27/7/19 15:12,37,2,2,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2257649,20/7/19 14:07,27/7/19 16:58,19,4,2,4,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,-,-,-,0,0,1,0,1,0,0
2282489,27/7/19 16:26,27/7/19 17:12,35,5,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
2298310,26/7/19 20:43,27/7/19 19:39,35,5,2,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1
2277339,27/7/19 21:33,27/7/19 22:13,34,5,1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2298596,22/7/19 11:13,27/7/19 23:10,23,4,1,5,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2298440,23/7/19 15:24,27/7/19 23:13,11,3,2,2,1,0,1,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2297259,27/7/19 23:29,28/7/19 0:06,38,4,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2297633,28/7/19 0:10,28/7/19 1:18,37,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
2281269,27/7/19 12:46,28/7/19 1:50,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
2267797,20/7/19 14:34,28/7/19 1:56,22,5,2,2,0,0,1,1,1,0,1,1,-,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
2224449,28/7/19 5:37,28/7/19 6:11,31,3,1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,0,0,0,0
2277400,28/7/19 8:01,28/7/19 8:15,35,5,2,5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
2298845,28/7/19 8:24,28/7/19 9:16,33,5,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1
2275228,21/7/19 9:45,28/7/19 9:40,33,4,2,5,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
2245347,28/7/19 11:12,28/7/19 11:47,36,5,2,5,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
2245347,28/7/19 11:48,28/7/19 11:53,41,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2280422,28/7/19 10:38,28/7/19 12:04,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2292785,27/7/19 20:21,28/7/19 12:12,38,5,2,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2244795,25/7/19 20:15,28/7/19 12:32,16,5,2,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2271201,28/7/19 11:43,28/7/19 13:06,25,4,2,5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-
2230357,28/7/19 12:11,28/7/19 13:13,28,5,2,4,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
2298365,28/7/19 0:12,28/7/19 13:16,38,5,2,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2294390,25/7/19 14:15,28/7/19 13:27,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
2282152,28/7/19 13:56,28/7/19 14:16,27,4,1,4,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,-,0,0,0,0
2294955,24/7/19 13:29,28/7/19 14:35,35,5,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
2276950,21/7/19 0:18,28/7/19 15:00,37,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
2280692,28/7/19 15:01,28/7/19 15:45,11,2,2,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,-,-,0,-,0,0,0,-,-,-,0,0,0,0
2240962,28/7/19 15:09,28/7/19 16:13,29,5,2,5,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,-,1,1,1,1
2183353,21/7/19 12:07,28/7/19 16:29,22,2,-,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,-,-,0,0,-,0,0,0,0
2297121,28/7/19 15:30,28/7/19 16:30,34,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
2271261,28/7/19 15:39,28/7/19 16:34,33,5,2,5,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1
2298440,27/7/19 23:14,28/7/19 16:36,25,2,2,3,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,-,-,1,1,1,-,-,-,-,0,1,1,1
2296673,25/7/19 21:46,28/7/19 17:53,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
2260640,21/7/19 2:16,28/7/19 18:20,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
2199898,28/7/19 14:43,28/7/19 18:53,34,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
2298879,28/7/19 12:25,28/7/19 18:56,24,5,1,4,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,-,0,0,-,0,0,0,0
2293726,28/7/19 18:36,28/7/19 19:16,25,4,2,5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,-,0,0,-,0,0,0,0
2298470,28/7/19 18:40,28/7/19 19:17,28,4,2,5,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0
2259423,28/7/19 19:05,28/7/19 19:22,6,0,0,4,1,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2281441,28/7/19 18:36,28/7/19 19:24,34,4,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,-,0,0,1,1
2296903,28/7/19 18:47,28/7/19 19:32,29,5,2,5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
2214196,28/7/19 18:55,28/7/19 19:42,14,4,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2294911,28/7/19 18:40,28/7/19 19:44,34,5,2,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
2298470,28/7/19 19:26,28/7/19 19:49,36,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0
2296513,28/7/19 14:26,28/7/19 19:54,35,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1
2296513,28/7/19 20:00,28/7/19 20:04,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2296824,28/7/19 17:13,28/7/19 20:08,29,5,2,5,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
2280983,28/7/19 18:48,28/7/19 20:13,32,4,2,5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1
2266314,28/7/19 20:08,28/7/19 20:32,28,5,2,5,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0
2260171,25/7/19 22:18,28/7/19 20:32,33,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,-,0,0,1,1
2295098,28/7/19 12:00,28/7/19 21:24,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
2293214,25/7/19 21:46,28/7/19 21:53,37,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
2294237,28/7/19 21:08,28/7/19 22:06,19,5,2,2,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2294237,28/7/19 22:08,28/7/19 22:12,37,5,2,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2265951,28/7/19 21:30,28/7/19 22:15,15,4,2,2,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2299316,28/7/19 20:26,28/7/19 22:21,36,5,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
2294521,28/7/19 20:57,28/7/19 22:25,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2298477,28/7/19 21:37,28/7/19 22:28,24,2,2,3,1,1,0,0,1,0,0,1,1,1,1,1,0,-,1,1,1,1,1,-,-,-,-,-,-,1,1,1,1
2296496,28/7/19 21:44,28/7/19 22:37,37,5,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
2294545,22/7/19 0:39,28/7/19 22:38,35,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
2289466,28/7/19 21:32,28/7/19 22:44,32,5,2,5,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,-,-,-,1,1,-,1,1,1,1
2294862,28/7/19 21:22,28/7/19 22:54,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
2296367,28/7/19 23:18,28/7/19 23:47,30,5,2,4,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1
2293179,28/7/19 23:38,29/7/19 0:00,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,0,1,1,1,1
2261520,28/7/19 22:13,29/7/19 0:07,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2246242,28/7/19 22:13,29/7/19 0:07,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2266915,23/7/19 21:29,29/7/19 0:12,38,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2275604,24/7/19 16:32,29/7/19 0:47,35,3,2,5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
2275666,29/7/19 0:02,29/7/19 0:56,14,3,2,3,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275666,29/7/19 1:09,29/7/19 1:13,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
2294349,29/7/19 0:29,29/7/19 1:21,34,5,2,5,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
2283150,29/7/19 1:28,29/7/19 2:06,33,5,2,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1
2267327,25/7/19 11:21,29/7/19 2:24,24,5,-,4,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2264504,29/7/19 2:01,29/7/19 2:32,14,5,1,3,1,1,-,1,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2264504,29/7/19 2:32,29/7/19 2:34,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
