Masked ID,Started on,Completed,Grade/40,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1
577117,20/2/20 5:30,20/2/20 7:20,30,5,2,5,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1
524634,20/2/20 10:45,26/2/20 16:46,22,4,2,5,1,1,1,1,0,0,0,0,-,1,0,1,1,1,1,1,0,0,0,1,-,-,0,0,0,-,-,-
600361,20/2/20 15:51,21/2/20 22:37,34,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-,-,-,1,1,0,1,1,1
595717,20/2/20 17:07,20/2/20 17:37,28,5,2,5,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,-,0,1
546664,20/2/20 17:26,22/2/20 21:48,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
602983,20/2/20 17:53,20/2/20 19:04,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
593403,20/2/20 18:53,20/2/20 19:41,34,5,2,4,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
595699,20/2/20 19:46,20/2/20 20:11,31,5,2,5,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1
598867,20/2/20 20:31,20/2/20 21:05,36,5,2,5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
539880,20/2/20 21:35,20/2/20 23:32,31,5,2,3,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,-,1,1,-,1,1,1
518114,20/2/20 21:43,8/3/20 22:04,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
566845,20/2/20 21:47,20/2/20 22:23,36,5,2,5,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
566845,20/2/20 22:31,20/2/20 22:35,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
566845,20/2/20 22:36,20/2/20 22:40,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490150,20/2/20 23:17,21/2/20 0:03,35,5,2,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
575724,20/2/20 23:17,22/2/20 18:52,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
570688,20/2/20 23:24,21/2/20 0:19,33,4,2,5,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
604255,21/2/20 7:21,21/2/20 8:10,36,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
598370,21/2/20 10:10,21/2/20 10:40,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
519594,21/2/20 13:51,24/2/20 7:36,34,4,2,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
490209,21/2/20 14:48,28/2/20 13:21,31,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,1
444613,21/2/20 22:03,21/2/20 22:28,19,5,2,5,1,1,1,1,1,0,0,-,-,-,-,-,-,1,1,0,0,-,-,-,-,-,-,-,-,-,-,0
511283,21/2/20 22:29,24/2/20 22:21,28,4,2,5,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
576241,22/2/20 0:04,22/2/20 0:19,21,5,2,5,1,1,1,1,1,0,0,0,0,1,0,1,1,0,-,-,-,-,-,-,1,-,0,0,-,-,-,-
490904,22/2/20 0:16,22/2/20 0:49,35,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,-,1,1
601509,22/2/20 2:08,26/2/20 17:09,35,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
596998,22/2/20 3:46,26/2/20 13:59,38,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
550893,22/2/20 7:39,24/2/20 18:23,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
587637,22/2/20 10:24,22/2/20 11:37,31,4,2,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
603016,22/2/20 11:30,22/2/20 11:58,29,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-
563259,22/2/20 13:25,22/2/20 13:57,34,4,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
486125,22/2/20 15:55,22/2/20 16:33,31,5,2,4,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1
542292,22/2/20 16:03,22/2/20 17:04,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
595150,22/2/20 16:33,22/2/20 22:50,29,3,2,5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1
551102,22/2/20 16:55,22/2/20 17:32,29,5,2,5,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,-,-,-,-,-,-,1,0,1
575724,22/2/20 18:54,22/2/20 18:57,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
577280,22/2/20 19:00,22/2/20 19:44,27,4,0,5,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,-,1,1,1
577280,22/2/20 19:47,22/2/20 20:11,35,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1
577280,22/2/20 20:18,22/2/20 20:22,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
523833,22/2/20 21:30,22/2/20 21:31,5,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
523833,22/2/20 21:32,23/2/20 21:53,16,3,2,4,0,1,1,1,1,0,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0
554455,22/2/20 21:50,22/2/20 22:26,24,4,2,4,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
