Masked ID,Started on,Completed,Grade/4,Q. 1 /3,Q. 2 /1
575218,26/2/18 16:47,28/2/18 0:57,3,3,0
603920,26/2/18 17:03,26/2/18 17:18,0,0,0
603920,26/2/18 17:18,26/2/18 17:23,2,2,0
582759,26/2/18 18:03,26/2/18 18:57,2,2,0
603325,26/2/18 21:12,26/2/18 22:03,3,3,0
563537,26/2/18 21:28,26/2/18 23:44,2,2,0
526311,26/2/18 21:33,1/3/18 23:48,1,1,0
534824,26/2/18 21:59,26/2/18 22:25,2,2,0
542211,26/2/18 22:27,27/2/18 10:04,1,1,0
598290,26/2/18 23:10,27/2/18 0:01,0,0,0
523426,27/2/18 1:11,27/2/18 1:15,3,3,0
557732,27/2/18 6:41,1/3/18 11:56,0,0,0
585425,27/2/18 10:13,27/2/18 11:26,0,0,0
367342,27/2/18 11:04,4/3/18 18:30,2,2,0
604220,27/2/18 11:39,27/2/18 12:15,1,1,0
550280,27/2/18 12:33,27/2/18 13:07,3,3,0
601807,27/2/18 13:02,27/2/18 14:14,3,3,0
550280,27/2/18 13:13,27/2/18 13:14,1,1,0
535249,27/2/18 13:15,27/2/18 13:50,0,0,0
550280,27/2/18 13:15,27/2/18 13:16,1,1,0
539063,27/2/18 13:15,27/2/18 14:12,0,0,0
550280,27/2/18 13:22,27/2/18 13:23,1,1,0
555602,27/2/18 13:23,27/2/18 13:51,1,1,0
550280,27/2/18 13:24,27/2/18 13:28,0,0,0
591113,27/2/18 13:36,29/2/2018  10:31:00 am,0,0,0
555602,27/2/18 13:53,27/2/18 14:09,2,2,0
567349,27/2/18 14:34,27/2/18 15:21,0,0,0
535784,27/2/18 16:49,27/2/18 23:17,0,0,0
604537,27/2/18 17:25,27/2/18 18:03,3,3,0
597945,27/2/18 17:43,1/3/18 12:36,3,3,0
597091,27/2/18 17:57,27/2/18 18:47,1,1,0
586079,27/2/18 18:12,5/3/18 17:00,0,0,0
587756,27/2/18 20:04,28/2/18 0:39,3,3,0
576090,27/2/18 21:51,7/3/18 3:15,1,1,0
434719,28/2/18 0:52,28/2/18 1:36,1,1,0
558614,28/2/18 8:38,28/2/18 8:54,0,0,0
599074,28/2/18 10:32,28/2/18 10:37,3,3,0
566270,28/2/18 11:52,29/2/2018  7:49:00 pm,2,2,0
573847,28/2/18 13:55,28/2/18 14:23,1,1,0
427233,28/2/18 16:51,28/2/18 17:30,1,1,0
568519,28/2/18 19:35,28/2/18 19:58,3,3,0
429649,29/2/2018  9:16:00 am,29/2/2018  9:16:00 am,0,0,0
563827,1/3/18 15:19,1/3/18 15:53,3,3,0
511460,1/3/18 17:58,1/3/18 21:34,1,1,0
573565,1/3/18 18:59,1/3/18 19:47,2,2,0
598393,1/3/18 20:29,1/3/18 22:48,3,3,0
543426,1/3/18 21:47,8/3/18 20:41,1,1,0
598698,2/3/18 19:03,2/3/18 19:32,2,2,0
598698,2/3/18 19:36,2/3/18 19:46,0,0,0
563045,2/3/18 21:42,2/3/18 22:28,3,3,0
578257,3/3/18 9:42,10/3/18 8:58,3,3,0
602961,3/3/18 13:41,3/3/18 14:16,0,0,0
602961,3/3/18 14:18,3/3/18 14:30,0,0,0
557022,4/3/18 14:33,4/3/18 15:41,2,2,0
613178,4/3/18 15:28,8/3/18 16:04,3,3,0
603084,4/3/18 20:23,4/3/18 21:25,1,1,0
643866,4/3/18 23:46,6/3/18 14:48,3,3,0
585750,5/3/18 1:13,5/3/18 1:25,0,0,0
452811,5/3/18 16:08,5/3/18 17:28,2,2,0
526755,5/3/18 17:48,5/3/18 18:27,3,3,0
368321,5/3/18 20:25,6/3/18 0:09,3,3,0
601852,5/3/18 21:11,5/3/18 22:17,2,2,0
490964,6/3/18 12:57,6/3/18 13:28,3,3,0
436103,6/3/18 13:47,6/3/18 14:02,0,0,0
547922,6/3/18 14:17,9/3/18 22:22,3,3,0
518114,8/3/18 22:05,10/3/18 0:15,1,1,0
429649,9/3/18 20:27,9/3/18 20:39,0,0,0
429649,9/3/18 20:41,9/3/18 20:44,1,1,0
429649,9/3/18 20:46,9/3/18 21:01,1,1,0
